number,value,datetime_start,datetime_complete,duration,params_bidirectional,params_cnn_filter_sizes,params_cnn_kernel_sizes,params_dropout_attn,params_dropout_classifier,params_dropout_cnn,params_dropout_enc,params_dropout_lstm,params_enc_hidden_dim,params_lstm_hidden_dim,params_lstm_layers,params_lstmfcn_batch_size,params_lstmfcn_learning_rate,params_lstmfcn_max_lr,params_lstmfcn_pct_start,params_lstmfcn_use_focal,params_n_heads,params_se_ratio,state
33,0.3043,2025-06-12 21:05:48.078846,2025-06-12 21:11:45.762727,0 days 00:05:57.683881,True,"128,128,128","5,7,9",0.1640319498768352,0.4461650150546538,0.08850154066815996,0.20598130124194092,0.33813750433043643,64,64,1,16,3.0700308386712098e-06,0.003332458285116654,0.13191290168826444,True,4,0.30539661381603667,COMPLETE
18,0.2864,2025-06-12 19:34:07.655712,2025-06-12 19:40:16.328865,0 days 00:06:08.673153,False,"256,512,256","5,7,9",0.29983022568066997,0.3563493137375503,0.21570302591906626,0.3453713731986654,0.18910193291577293,256,512,2,16,1.5957902892536266e-05,0.0029033022727638653,0.16509594538711833,False,3,0.26159488604009073,COMPLETE
12,0.2857,2025-06-12 18:58:30.403426,2025-06-12 19:04:13.282154,0 days 00:05:42.878728,False,"128,128,128","5,5,5",0.18710808832745737,0.4300667654204071,0.1587700402481509,0.20009165197495388,0.310940011076809,64,64,1,16,1.0567757438468195e-06,0.0050259857545868975,0.10170239407554782,True,8,0.30481450360677415,COMPLETE
5,0.2581,2025-06-12 18:17:40.353858,2025-06-12 18:23:28.950822,0 days 00:05:48.596964,False,"256,512,256","5,7,9",0.20731866301292712,0.4663325853809088,0.05701225091104457,0.381028805399365,0.24195590517787108,64,64,1,16,2.9497509071019387e-06,0.0017798801189018174,0.18480142802594127,True,8,0.4715319323437893,COMPLETE
2,0.2526,2025-06-12 17:59:56.975528,2025-06-12 18:05:39.906117,0 days 00:05:42.930589,True,"128,128,128","5,7,9",0.008842312028636867,0.43903240435593405,0.10214348442862474,0.1580654068535354,0.31382919942023224,64,64,1,16,5.203609723456504e-06,0.005178651356037131,0.12018416175650991,True,4,0.3002177808914642,COMPLETE
69,0.2474,2025-06-13 01:07:07.150282,2025-06-13 01:13:16.315781,0 days 00:06:09.165499,False,"128,128,128","5,7,9",0.2072456526022033,0.38386499328362994,0.28748834701479464,0.16215293984069737,0.1898763866590838,64,128,1,16,0.0007365406501113703,0.006812228931948721,0.2824548328141342,True,4,0.48086813740919887,COMPLETE
26,0.2408,2025-06-12 20:23:13.824386,2025-06-12 20:29:12.979007,0 days 00:05:59.154621,False,"128,256,128","3,3,3",0.2508975153483403,0.3073451747295144,0.2911987886997342,0.32903749360637374,0.25732463704475217,128,512,1,16,1.4092772772872859e-06,0.0006330489713224611,0.4987883915694847,False,3,0.10314840285103735,COMPLETE
75,0.2268,2025-06-13 01:44:26.890785,2025-06-13 01:50:41.713801,0 days 00:06:14.823016,False,"128,128,128","3,5,7",0.23644175765363865,0.36574263428169745,0.15874467146374088,0.35706511546813746,0.21339830096250154,256,128,1,16,1.705162417250316e-05,0.0035360336135092725,0.3321119343281524,True,2,0.48135972562611384,COMPLETE
55,0.2194,2025-06-12 23:40:21.810755,2025-06-12 23:46:30.746298,0 days 00:06:08.935543,False,"128,256,128","3,3,3",0.2514468683493784,0.4455088763223018,0.24231482755073833,0.28182704843869794,0.20406630656640742,128,512,1,16,1.0079772940206972e-06,0.00023600498372451116,0.4749209161243768,False,3,0.47359154900593053,COMPLETE
23,0.2182,2025-06-12 20:05:22.041679,2025-06-12 20:11:25.744937,0 days 00:06:03.703258,False,"256,512,256","5,7,9",0.12705607772613972,0.3783245646993327,0.22872854734401685,0.34664132401993797,0.21717799734751586,64,512,1,16,1.4686572005873582e-05,0.0012588980281036729,0.18088246934074176,False,3,0.17867243761888957,COMPLETE
